d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,gates,depth
608,1023,341,1.0570875511965976,1.0570875511965976,207.02173265076217,211950730282,0.453501739981188,classical,1.12193231355198e+22,2.01189332655246e+19
624,1023,341,1.0570875511965976,1.0570875511965976,211.76182314763292,423631747521,0.454175789578226,classical,3.05537114010481e+22,5.47901217628408e+19
640,1023,341,1.0563075511965978,1.0563075511965978,216.49898632083466,934570128348,0.45479047425258,classical,7.21408675493832e+22,1.29365852325622e+20
656,1023,341,1.0563075511965978,1.0563075511965978,221.2328832215899,1873292161270,0.455411561655516,classical,1.95655488283836e+23,3.50857147464962e+20
672,1023,341,1.0562875511965977,1.0562875511965977,225.9668109320915,3764923481133,0.456009506022959,classical,5.28479612994222e+23,9.47690510166273e+20
688,1023,341,1.0561075511965978,1.0561075511965978,230.70004525605967,7735786814163,0.456581240719778,classical,1.38270948858662e+24,2.47952925416771e+21
704,1023,341,1.0560875511965977,1.0560875511965977,235.4324457238844,15558826713819,0.457141216416191,classical,3.72893482389924e+24,6.68687317116334e+21
720,1023,341,1.0560875511965977,1.0560875511965977,240.1650114371206,31201303916291,0.457685620686435,classical,1.00936402151333e+25,1.81003142026957e+22
736,1023,341,1.0560875511965977,1.0560875511965977,244.897848845474,62546002377442,0.458215093497797,classical,2.73159381278543e+25,4.89840188789641e+22
752,1023,341,1.0560875511965977,1.0560875511965977,249.63102071868568,125280849033664,0.458730823129611,classical,7.39080434328038e+25,1.32534821900482e+23
768,1023,341,1.0560875511965977,1.0560875511965977,254.36458252307054,250544021739957,0.459233802649265,classical,1.99929203253292e+26,3.58520941904943e+23
784,1023,341,1.0560875511965977,1.0560875511965977,259.0985828273543,499476349017496,0.459724859079023,classical,5.40718327466762e+26,9.69637456230184e+23
800,1023,341,1.0560875511965977,1.0560875511965977,263.8330636792057,989548048690613,0.460204678772041,classical,1.46210119595282e+27,2.62189759876772e+24
816,1023,341,1.0560875511965977,1.0560875511965977,268.56806095995097,1936746656458764,0.460673829433265,classical,3.95272189997172e+27,7.08817699268667e+24
832,1023,341,1.0560875511965977,1.0560875511965977,273.3036047236937,3703985440156010,0.461132779181233,classical,1.06838664511277e+28,1.91587311954231e+25
848,1023,341,1.0560875511965977,1.0560875511965977,278.0397195258464,6794100058305023,0.461581913007781,classical,2.8871862421208e+28,5.17741637607962e+25
864,1023,341,1.0560875511965977,1.0560875511965977,282.77642474494104,11630505914436880,0.462021546955305,classical,7.80074443117264e+28,1.39886029430156e+26
880,1023,341,1.0560875511965977,1.0560875511965977,287.5137349005278,18026766790581028,0.46245194029635,classical,2.10723474122603e+29,3.77877654662608e+26
896,1023,341,1.0560875511965977,1.0560875511965977,292.2516599690187,24834431103317896,0.462873305968053,classical,5.69122970067604e+29,1.02057378295993e+27
912,1023,341,1.0560875511965977,1.0560875511965977,296.9902056984884,30593050125329904,0.463285819484689,classical,1.53679649276233e+30,2.75584415450969e+27
928,1023,341,1.0560875511965977,1.0560875511965977,301.72937392271564,34591043563270292,0.463689626525068,classical,4.14900923921531e+30,7.44016720024265e+27
944,1023,341,1.0560875511965977,1.0560875511965977,306.46916287414484,37001219167472136,0.464084849367812,classical,1.11993035581665e+31,2.00830333688989e+28
960,1023,341,1.0560875511965977,1.0560875511965977,311.2095674949565,38332484027150776,0.464471592326413,classical,3.02243537365398e+31,5.41995045934544e+28
976,1023,341,1.0560875511965977,1.0560875511965977,315.9505797450692,39032464734454744,0.464849946317195,classical,8.15536285080337e+31,1.46245186959623e+29
992,1023,341,1.0560875511965977,1.0560875511965977,320.69218890563707,39390995924835576,0.465219992676737,classical,2.20014207575658e+32,3.94538164755058e+29
1008,1023,341,1.0560875511965977,1.0560875511965977,325.4343818764485,39572172053840432,0.465581806330708,classical,5.93444765802419e+32,1.06418858746959e+30
1024,1023,341,1.0560875511965977,1.0560875511965977,330.17714346557483,39663100562128088,0.465935458403179,classical,1.60041656454809e+33,2.86993017941019e+30
