d,n,k,theta1,theta2,log_cost,pf_inv,eta,metric,qubits_in,qubits_out,qubits_max,depth,gates,dw,toffoli_count,t_count,t_depth
224,2047,682,1.0491975511965974,1.0491975511965974,94.48811802802146,17348,0.382587858942752,ge19,53,53,3123,5916737.87521862,545091872.155092,5499037666.58918,25352725.9792887,179154856.333435,4635879.81563917
240,2047,682,1.0514175511965973,1.0514175511965973,98.87582032889296,33476,0.389566935396049,ge19,56,56,3126,10937855.8933795,967633696.433614,9813881235.29565,44983032.0119148,318048217.210709,8401328.99049125
256,2047,682,1.0581975511965975,1.0581975511965975,103.3564438970492,55881,0.396591003495445,ge19,59,59,3129,24034926.2940294,2045105861.1707,20857391341.1547,95024682.8222707,672234587.996924,18119113.2500092
272,2047,682,1.0605275511965975,1.0605275511965975,107.71512666679483,103445,0.402419152297234,ge19,63,63,3133,46296112.8339814,3748680224.60742,38529769699.7838,174064306.586587,1232293591.61039,34097994.8691456
288,1023,341,1.0694175511965975,1.0694175511965975,111.3998452400729,118361,0.422378326009939,ge19,66,66,1600,113065548.566419,4620030129.71828,44648005536.6563,212275025.004601,1521396719.68049,76208396.7053071
304,1023,341,1.0694175511965975,1.0694175511965975,115.80588785822462,225832,0.42573162837931,ge19,70,70,1604,203080996.517261,7920870596.6376,77904100359.0765,363458045.168743,2608736726.28949,134280191.622394
320,511,170,1.0583075511965976,1.0583075511965976,121.05097877358621,732118,0.450460688788146,ge19,73,73,839,214956646.491066,4269319595.40123,44102940767.3051,191406617.621415,1410997474.4029,130527287.671149
336,511,170,1.0583075511965976,1.0583075511965976,125.77753829357336,1454621,0.452500611383451,ge19,76,76,842,370490621.557539,7123600081.61422,75496225744.8855,318755444.673379,2354784986.56616,222377816.768208
352,511,170,1.0583075511965976,1.0583075511965976,130.4945713888414,2888006,0.454345843202382,ge19,80,80,846,644292771.792683,11884702227.9603,130374169790.458,530430687.122424,3929630483.13209,381160271.243731
368,2047,682,1.1138675511965979,1.1138675511965979,136.29158619395355,813709,0.430857546812638,ge19,83,83,3153,19394873614.7295,1265496413918.57,13599948812955.3,58566409694.8723,416149847245.181,12999910365.7784
384,1023,341,1.1249775511965978,1.1249775511965978,140.22829389142643,187058,0.441247260950688,ge19,86,86,1620,64868769043.1772,2142904030901.73,22738993590965.0,97813931273.7671,706150182694.428,40223744583.8598
400,1023,341,1.1249775511965978,1.1249775511965978,144.73893766854258,286728,0.442920094076771,ge19,90,90,1624,129867768553.982,4133017138062.19,44751621370148.7,188406649076.421,1362135799719.6,79445623566.1669
416,1023,341,1.1249775511965978,1.1249775511965978,149.05975465965895,439533,0.4444352619339,ge19,93,93,1627,257116284129.877,7964449169547.95,87577925917310.2,362709159564.431,2625143055646.48,155785004564.88
432,1023,341,1.1249775511965978,1.1249775511965978,153.38683905041944,673807,0.445812956402729,ge19,97,97,1631,512968897270.851,15345332447310.3,172301514692274.0,697929263427.126,5058620457633.69,307052430515.589
448,1023,341,1.1249775511965978,1.1249775511965978,157.87393545428452,1032995,0.447071179068398,ge19,100,100,1634,1012921387299.37,29543832539422.7,337042581787273.0,1342383707043.8,9740167942231.61,601093487618.827
464,1023,341,1.1249775511965978,1.1249775511965978,162.1899908026781,1583716,0.448225842321332,ge19,103,103,1637,1998020794114.17,56857674368763.2,659159863484196.0,2580917248383.56,18747028159277.0,1175900939537.68
480,1023,341,1.1249775511965978,1.1249775511965978,166.5130414132,2428121,0.449290906064077,ge19,107,107,1641,3969658155881.11,109421392919940.0,1.29636537099885e+15,4960453747805.76,36083091752968.3,2311856381157.52
496,1023,341,1.1249775511965978,1.1249775511965978,170.98679184712566,3722854,0.450278535607321,ge19,110,110,1644,7813855536010.14,210445295554630.0,2.53459450460305e+15,9530912962713.0,69403958885134.6,4516607578935.8
512,1023,341,1.1249775511965978,1.1249775511965978,175.29926426866112,5708116,0.451199269224584,ge19,113,113,1647,15367726661414.7,404627701987171.0,4.95482514610865e+15,18307431761498.7,133457831535521.0,8819115300251.99
528,1023,341,1.1360875511965978,1.1360875511965978,180.72914657306256,3092122,0.452375482831447,ge19,117,117,1651,65698760142591.3,1.67982712207724e+15,2.10341566663761e+16,75905354855542.9,554128909075973.0,37358118512453.9
544,1023,341,1.1360875511965978,1.1360875511965978,185.22533411648084,4524508,0.453180679707543,ge19,120,120,1654,132048234884188.0,3.3048089581598e+15,4.20851163113086e+16,149187238821959.0,1.09027436413228e+15,74593619410979.4
560,1023,341,1.1360875511965978,1.1360875511965978,189.56877152667548,6620560,0.453943789737048,ge19,123,123,1657,265220691861909.0,6.50039459058373e+15,8.41949401094008e+16,293158802260061.0,2.14472836535951e+15,148875684176454.0
576,1023,341,1.1360875511965978,1.1360875511965978,193.9200835682973,9687821,0.45467029173409,ge19,127,127,1661,536111555955246.0,1.27877268332831e+16,1.6944020020206e+17,575962765584457.0,4.21971676300258e+15,298508117411266.0
592,1023,341,1.1360875511965978,1.1360875511965978,198.40626686098963,14176368,0.455364807183496,ge19,130,130,1664,1.07526564351107e+15,2.5143935003174e+16,3.38923583133364e+17,1.13139214688115e+15,8.29786041929282e+15,595236338372198.0
608,1023,341,1.1360875511965978,1.1360875511965978,202.7474450504035,20744881,0.456031218816912,ge19,133,133,1667,2.15538722779009e+15,4.94317609172856e+16,6.77872184064921e+17,2.22210850132868e+15,1.63148018426534e+16,1.18647829901231e+15
624,1023,341,1.1360875511965978,1.1360875511965978,207.09672321159198,30357343,0.456672775826834,ge19,137,137,1671,4.34661982373602e+15,9.7197938968e+16,1.36395278011498e+18,4.36371007206002e+15,3.20840928535797e+16,2.37554451703528e+15
640,1023,341,1.1360875511965978,1.1360875511965978,211.57400702502468,44424556,0.457292186515258,ge19,140,140,1674,8.70242446622117e+15,1.9103387692334e+17,2.7275668961156e+18,8.56819683949282e+15,6.30646132912017e+16,4.73152384217423e+15
656,1023,341,1.1360875511965978,1.1360875511965978,215.91325334100776,65011287,0.457891699362062,ge19,143,143,1677,1.74146210839844e+16,3.75413552876056e+17,5.45397164186935e+18,1.68216894707844e+16,1.23944667588913e+17,9.421024520844e+15
672,1023,341,1.1360875511965978,1.1360875511965978,220.26073189102038,95139439,0.458473173581969,ge19,147,147,1681,3.5047844138875e+16,7.37901535209255e+17,1.09715918134448e+19,3.30217080078454e+16,2.43653647076164e+17,1.88387550906376e+16
688,1023,341,1.1360875511965978,1.1360875511965978,224.5988115369454,139231790,0.459038140251436,ge19,150,150,1684,7.00621351104469e+16,1.44977003854449e+18,2.193465218004e+19,6.4815936587684e+16,4.7875792325472e+17,3.74849346061932e+16
704,1023,341,1.1360875511965978,1.1360875511965978,229.06750051494856,203761477,0.459587855053089,ge19,153,153,1687,1.39996565861016e+17,2.84809146443229e+18,4.38480703070348e+19,1.27209216428871e+17,9.40617495891807e+17,7.45651934419882e+16
720,1023,341,1.1360875511965978,1.1360875511965978,233.41331565119276,298202638,0.460123343623367,ge19,157,157,1691,2.81250740470217e+17,5.59633570724747e+18,8.81838394973863e+19,2.49638548320031e+17,1.84849849356555e+18,1.48935791882838e+17
736,1023,341,1.1360875511965978,1.1360875511965978,237.74975707202583,436421852,0.460645440411581,ge19,160,160,1694,5.61472160729733e+17,1.09918727046731e+19,1.76246942589975e+20,4.89849288290405e+17,3.63102383670094e+18,2.96083838744722e+17
752,1023,341,1.1360875511965978,1.1360875511965978,242.2111443387023,638714802,0.461154821874436,ge19,163,163,1697,1.12045641025075e+18,2.15872928761078e+19,3.52215409826803e+20,9.6110818617254e+17,7.13177406031947e+18,5.88459189706163e+17
768,1023,341,1.1360875511965978,1.1360875511965978,246.5553734963499,934787388,0.461652034744972,ge19,167,167,1701,2.24741884391333e+18,4.24055689201477e+19,7.08112938513245e+20,1.88556717901162e+18,1.40112903171464e+19,1.17417172896677e+18
784,1023,341,1.1360875511965978,1.1360875511965978,250.89027207524768,1368119274,0.462137520032675,ge19,170,170,1704,4.48117270095047e+18,8.32662731345252e+19,1.41478300040336e+21,3.69889901824144e+18,2.75147866918273e+19,2.33233449844728e+18
800,1023,341,1.1360875511965978,1.1360875511965978,255.34491482854378,2002351018,0.462611633334269,ge19,173,173,1707,8.93196959955066e+18,1.63484406456251e+20,2.82635270697043e+21,7.25544932476756e+18,5.40275234314284e+19,4.63174245406179e+18
816,1023,341,1.1360875511965978,1.1360875511965978,259.68760263476287,2930633292,0.46307466196382,ge19,177,177,1711,1.78902151163054e+19,3.21057837632388e+20,5.68003183391222e+21,1.42304307155659e+19,1.06115170035656e+20,9.23306013790631e+18
832,1023,341,1.1360875511965978,1.1360875511965978,264.0210218553298,4289311979,0.463526839346507,ge19,180,180,1714,3.56323266510373e+19,6.30251331874201e+20,1.13442507196969e+22,2.79083458227961e+19,2.08328879131525e+20,1.83262375311572e+19
848,1023,341,1.1360875511965978,1.1360875511965978,268.3539657763633,6277960168,0.463968357062999,ge19,183,183,1717,7.09468788745747e+19,1.23710494230943e+21,2.26540243159278e+22,5.47284080744453e+19,4.08962673391808e+20,3.63665270364134e+19
864,1023,341,1.1360875511965978,1.1360875511965978,272.8105690421797,9188700805,0.464399374880408,ge19,187,187,1721,1.41917246114384e+20,2.4288443197286e+21,4.55068927393621e+22,1.07313534574154e+20,8.03030261330352e+20,7.24296310376469e+19
880,1023,341,1.1360875511965978,1.1360875511965978,277.1425553164494,13449129232,0.464820029060896,ge19,190,190,1724,2.82373376356621e+20,4.7666988196543e+21,9.0849925632061e+22,2.10406620903863e+20,1.57612688086993e+21,1.43658828632794e+20
896,1023,341,1.1360875511965978,1.1360875511965978,281.4740814206413,19685143658,0.465230439199698,ge19,193,193,1727,5.61672665954711e+20,9.35403087980185e+21,1.81347840639737e+23,4.12503607019471e+20,3.09323853618778e+21,2.8487520641423e+20
912,1023,341,1.1360875511965978,1.1360875511965978,285.92475384700856,28812917641,0.46563071381,ge19,197,197,1731,1.12218446609353e+21,1.83603313587006e+22,3.64109799204788e+23,8.08648448756018e+20,6.0722531034525e+21,5.66898455590054e+20
928,1023,341,1.1360875511965978,1.1360875511965978,290.2553456836533,42173531980,0.466020954842248,ge19,200,200,1734,2.23072287311695e+21,3.60236912213882e+22,7.26589688482956e+23,1.58509621596251e+21,1.19151227304336e+22,1.12363870139379e+21
944,1023,341,1.1360875511965978,1.1360875511965978,294.5854908293064,61730053755,0.466401261299571,ge19,203,203,1737,4.43309423851213e+21,7.06739863733521e+22,1.44971712954754e+24,3.1068162732848e+21,2.33781840720804e+22,2.22668685905138e+21
960,1023,341,1.1360875511965978,1.1360875511965978,299.0305832267608,90356029198,0.466771732088537,ge19,207,207,1741,8.84720707522461e+21,1.38685733909653e+23,2.90921684837079e+24,6.08891340487157e+21,4.58814728105988e+22,4.42757802416901e+21
976,1023,341,1.1360875511965978,1.1360875511965978,303.35981663916334,132257794181,0.467132468225075,ge19,210,210,1744,1.75715010929984e+22,2.7203892671771e+23,5.80273120602651e+24,1.19324200684723e+22,9.00072103859438e+22,8.77017297460823e+21
992,1023,341,1.1360875511965978,1.1360875511965978,307.6886164522734,193592676467,0.46748357449856,ge19,213,213,1747,3.48898804904901e+22,5.33574025348878e+23,1.15724055968608e+25,2.33820196462952e+22,1.76555615710407e+23,1.73686281706814e+22
1008,1023,341,1.1360875511965978,1.1360875511965978,312.02538753624845,283373959371,0.467825160682605,ge19,217,217,1751,6.95587012011567e+22,1.04678967190253e+24,2.32101476523462e+25,4.58142434394549e+22,3.46417882508254e+23,3.45102068728009e+22
1024,1023,341,1.1360875511965978,1.1360875511965978,316.45635870650153,414795630144,0.468157342368537,ge19,220,220,1754,1.38038690061258e+23,2.05282749731592e+24,4.62729008015153e+25,8.97603027053683e+22,6.794128395375e+23,6.8316261719621e+22
